"user_id","role_id"
"1","1"
"2","2"
"1001","3"
"1003","3"
"1004","3"
"1010","3"
"1011","3"
"1012","3"
"1013","3"
"1014","3"
"1015","3"
"1016","3"
"1017","3"
"1018","3"
"1019","3"
"1020","3"
"1021","3"
"1022","3"
"1023","3"
"1024","3"
"1025","3"
"1026","3"
"1027","3"
"1028","3"
"1029","3"
"1030","3"
"1031","3"
"1032","3"
"1033","3"
"1034","3"
"1035","3"
"1036","3"
"1037","3"
"1038","3"
"1039","3"
"1040","3"
"1041","3"
"1042","3"
"1043","3"
"1044","3"
"1045","3"
"1046","3"
"1047","3"
"1048","3"
"1049","3"
"1050","3"
"1051","3"
"1052","3"
"1053","3"
"1054","3"
"1055","3"
"1056","3"
"1057","3"
"1058","3"
"1059","3"
"1060","3"
"1061","3"
"1062","3"
"1063","3"
"1064","3"
"1065","3"
"1066","3"
"1067","3"
"1068","3"
"1069","3"
"1070","3"
"1071","3"
"1072","3"
"1073","3"
"1074","3"
"1075","3"
"1076","3"
"1077","3"
"1078","3"
"1079","3"
"1080","3"
"1081","3"
"1082","3"
"1083","3"
"1084","3"
"1085","3"
"1086","3"
"1087","3"
"1088","3"
"1089","3"
"1090","3"
"1091","3"
"1092","3"
"1093","3"
"1094","3"
"1095","3"
"1096","3"
"1097","3"
"1098","3"
"1099","3"
"1100","3"
"1101","3"
"1102","3"
"1103","3"
"1104","3"
"1105","3"
"1106","3"
"1107","3"
"1108","3"
"1109","3"
"1110","3"
"1111","3"
"1112","3"
"1113","3"
"1114","3"
"1115","3"
"1116","3"
"1117","3"
"1118","3"
"1119","3"
"1120","3"
"1121","3"
"1122","3"
"1123","3"
"1124","3"
"1125","3"
"1126","3"
"1127","3"
"1128","3"
"1129","3"
"1130","3"
"1131","3"
"1132","3"
"1133","3"
"1134","3"
"1135","3"
"1136","3"
"1137","3"
"1138","3"
"1139","3"
"1140","3"
"1141","3"
"1142","3"
"1143","3"
"1144","3"
"1145","3"
"1146","3"
"1147","3"
"1148","3"
"1149","3"
"1150","3"
"1151","3"
"1152","3"
"1153","3"
"1154","3"
"1155","3"
"1156","3"
"1157","3"
"1158","3"
"1159","3"
"1160","3"
"1161","3"
"1162","3"
"1163","3"
"1164","3"
"1165","3"
"1166","3"
"1167","3"
"1168","3"
"1169","3"
"1170","3"
"1171","3"
"1172","3"
"1173","3"
"1174","3"
"1175","3"
"1176","3"
"1177","3"
"1178","3"
"1179","3"
"1180","3"
"1181","3"
"1182","3"
"1183","3"
"1184","3"
"1185","3"
"1186","3"
"1187","3"
"1188","3"
"1189","3"
"1190","3"
"1191","3"
"1192","3"
"1193","3"
"1194","3"
"1195","3"
"1196","3"
"1197","3"
"1198","3"
"1199","3"
"1200","3"
"1201","3"
"1202","3"
"1203","3"
"1204","3"
"1205","3"
"1206","3"
"1207","3"
"1208","3"
"1209","3"
"1210","3"
"1211","3"
"1212","3"
"1213","3"
"1214","3"
"1215","3"
"1216","3"
"1217","3"
"1218","3"
"1219","3"
